PC 1,PC 2,AdoptionSpeed
-4.191399911843756,-7.7960392706054655,1
-5.089610633464214,-6.703699694718519,3
-5.08961063346424,-6.703699694718784,1
-23.126281117464547,4.098054621393598,2
-45.99207122382894,-3.7151636300123485,4
-45.89500454650764,-2.719893867436726,4
-45.99207122382894,-3.7151636300123485,1
189.79160564802706,-27.715979147579095,1
-5.08961063346424,-6.703699694718784,2
-45.79793786918637,-1.7246241048611026,3
6.756651476514592,-8.86380721704079,4
-45.31260448257995,3.251724708017011,4
-5.08961063346424,-6.703699694718784,3
-45.89500454650764,-2.719893867436726,4
-23.9028145360348,-3.8641034792113835,2
-20.214280797826092,33.95614749866229,4
-4.992543956142958,-5.7084299321431615,1
42.58761728198024,-12.354377014798045,3
-4.288466589165127,-8.791309033182229,4
-45.99207122382894,-3.7151636300123485,4
-4.1913999118438445,-7.796039270606607,2
-0.7216101540065557,38.08343962118424,2
-4.288466589165127,-8.791309033182229,1
212.9249646041917,-6.863240687895938,3
-4.60427724685783,-1.7273508818406702,3
-45.6038045145438,0.2659154202901432,4
-3.997266557201281,-5.805499745455362,1
-4.992543956142958,-5.7084299321431615,3
-46.08913790115021,-4.710433392587971,2
-9.799408221937632,6.817226098637506,4
-4.895477278821676,-4.713160169567538,4
119.12691032316802,-20.82402240241298,1
-45.99207122382894,-3.7151636300123485,3
-45.89500454650764,-2.719893867436726,2
-45.99207122382894,-3.7151636300123485,1
-45.99207122382894,-3.7151636300123485,2
-5.08961063346424,-6.703699694718784,3
-30.675622973983977,-1.1940752608747467,2
-5.283743988106803,-8.694239219870031,2
119.3210436778106,-18.83348287726173,2
-5.186677310785522,-7.698969457294407,2
99.31567737046748,64.50132266410529,1
-5.08961063346424,-6.703699694718784,3
-46.08913790115021,-4.710433392587971,3
-3.099055835580887,-6.897839321343182,1
-5.186677310785522,-7.698969457294407,2
157.04451816027301,-23.517405545700907,2
-5.283743988106803,-8.694239219870031,2
-46.18620457847149,-5.705703155163593,1
-3.8031332025587172,-3.8149602203041146,4
182.31471984310005,-21.963071828203383,3
-5.186677310785522,-7.698969457294407,1
-5.283743988106803,-8.694239219870031,1
-5.186677310785522,-7.698969457294407,3
-46.08913790115021,-4.710433392587971,4
59.991290625001,32.166124490622025,4
-46.08913790115021,-4.710433392587971,4
156.94745148295175,-24.51267530827652,3
-46.08913790115021,-4.710433392587971,2
-45.99207122382894,-3.7151636300123485,2
245.28240955706647,26.151446178772723,2
-45.89500454650764,-2.719893867436726,3
0.4431899738488266,50.026676772091726,3
151.26698712126554,-20.944447140676466,4
-5.283743988106803,-8.694239219870031,4
88.19810325319534,53.52878364631981,4
-45.89500454650764,-2.719893867436726,2
-5.08961063346424,-6.703699694718784,2
-4.60427724685783,-1.7273508818406702,3
-38.127898153182116,-5.490935380567469,2
160.34478518919659,10.321766381870273,3
-46.08913790115021,-4.710433392587971,3
-42.691804194905345,30.12400829755883,4
-46.08913790115021,-4.710433392587971,1
-45.02140445061611,6.237533995743879,1
-46.08913790115021,-4.710433392587971,3
-45.99207122382894,-3.7151636300123485,4
-5.283743988106803,-8.694239219870031,2
-3.6089998479161536,-1.8244206951528688,3
